device_name_in_vd,ip,day,batch,type,softwareVersion,ping-status,sync-status
CPE-1,20.20.15.1,1,1,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-13,20.20.16.13,1,1,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-131-Manish-4G,20.20.15.131,1,1,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-14,20.20.16.14,1,1,branch,16.1-R2-S2.2 5cd1c58 20180505,UNREACHABLE,UNKNOWN
CPE-15,20.20.15.15,1,1,branch,16.1-R2-S2.2 5cd1c58 20180505,UNREACHABLE,UNKNOWN
CPE-16,20.20.15.16,1,1,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-17-sec,20.20.16.17,1,1,branch,16.1-R2-S2.2 6e70693 20181001,REACHABLE,OUT_OF_SYNC
CPE-18,20.20.16.18,1,1,branch,16.1-R2-S2.2 6e70693 20181001,REACHABLE,OUT_OF_SYNC
CPE-19,20.20.16.19,1,2,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
CPE-22-New,20.20.15.22,1,2,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-23-New,20.20.15.23,1,2,branch,16.1-R2-S2.2 5cd1c58 20180505,UNREACHABLE,UNKNOWN
CPE-24,20.20.16.24,1,2,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-25,20.20.16.25,1,2,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-29,20.20.16.29,1,2,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-32,20.20.20.32,1,2,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-34,20.20.16.34,1,2,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-39,20.20.16.39,1,2,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-4,20.20.15.4,1,3,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
CPE-40,20.20.16.40,1,3,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-41,20.20.16.41,1,3,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-46,20.20.16.46,1,3,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
CPE-5,20.20.16.5,1,3,branch,16.1-R2-S2.2 5cd1c58 20180505,UNREACHABLE,UNKNOWN
CPE-51,20.20.16.51,1,3,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-52,20.20.16.52,1,3,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-53,20.20.16.53,1,3,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-54,10.16.72.6,1,3,branch,UNREACHABLE,UNKNOWN
CPE-6,20.20.16.6,1,4,branch,16.1-R2-S2.2 6e70693 20181001,UNREACHABLE,UNKNOWN
CPE-60,20.20.16.60,1,4,branch,16.1-R2-S2.2 6e70693 20181001,UNREACHABLE,UNKNOWN
CPE-61,20.20.16.61,1,4,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-8,10.63.143.85,1,4,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-8-Manish,20.20.15.108,1,4,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE-9,20.20.16.9,1,4,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE07,20.20.16.7,1,4,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE11,20.20.16.11,1,4,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
CPE12,20.20.16.12,1,4,branch,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
CPE31,20.20.16.31,1,5,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE35,20.20.16.35,1,5,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE38,20.20.16.38,1,5,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE42,20.20.16.42,1,5,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
CPE48,20.20.16.48,1,5,branch,16.1-R2-S2.2 6e70693 20181001,UNREACHABLE,UNKNOWN
CPE49,20.20.16.49,1,5,branch,16.1-R2-S2.2 6e70693 20181001,UNREACHABLE,UNKNOWN
CPE50,20.20.16.50,1,5,branch,16.1-R2-S2.2 6e70693 20181001,UNREACHABLE,UNKNOWN
CPE55-VM,20.20.16.55,1,5,branch,16.1-R2-S2.2 5cd1c58 20180505,UNREACHABLE,UNKNOWN
CPE60,20.20.40.12,1,5,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
CPE61,20.20.40.13,1,6,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
DEMO-1,20.20.15.201,1,6,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
DEMO-2,20.20.15.202,1,6,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
DEMO-5,20.20.15.205,1,6,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
DEMO1-CPE1-MUM,20.20.120.26,1,6,branch,16.1-R2-S2.2 5cd1c58 20180505,UNREACHABLE,UNKNOWN
DEMO2-CPE1-MUM,10.0.6.37,1,6,branch,16.1-R2-S2.2 5cd1c58 20180505,UNREACHABLE,UNKNOWN
DUAL-MPLS-VM-CPE-B,20.20.201.1,1,6,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
FEEFAUTO-CPE27,20.20.16.27,1,6,branch,16.1-R2-S2.2 5cd1c58 20180505,UNREACHABLE,UNKNOWN
FKKFAUTO-CPE27,20.20.16.27,1,6,branch,16.1-R2-S2.2 5cd1c58 20180505,UNREACHABLE,UNKNOWN
JAN18-CPE2-BLR,10.63.143.88,1,7,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
JAN23-CPE1-MUM,20.20.110.26,1,7,branch,16.1-R2-S2.2 5cd1c58 20180505,UNREACHABLE,UNKNOWN
JAN23-CPE2-MUM,20.20.110.27,1,7,branch,16.1-R2-S2.2 5cd1c58 20180505,UNREACHABLE,UNKNOWN
JCPE47,20.20.16.47,1,7,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,OUT_OF_SYNC
Manish-5020-UCPE,20.20.16.101,1,7,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
NV-FW01-N2-BLR,10.63.36.35,1,7,service-vnf,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
NV-FW01-N4-MUM,10.83.43.36,1,7,service-vnf,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,OUT_OF_SYNC
NV-FW01-N5-LON,10.83.46.59,1,7,service-vnf,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,OUT_OF_SYNC
NV-FW02-N2-BLR,10.63.36.37,1,7,service-vnf,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
NV-FW02-N4-MUM,10.83.43.37,1,8,service-vnf,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,OUT_OF_SYNC
NV-FW02-N5-LON,10.83.46.58,1,8,service-vnf,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
NV-GW01-N2-BLR,10.63.4.36,1,8,service-vnf,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
NV-GW01-N4-MUM,10.83.43.60,1,8,service-vnf,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,OUT_OF_SYNC
NV-GW01-N5-LON,10.83.46.61,1,8,service-vnf,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
NV-GW02-N2-BLR,10.63.4.37,1,8,service-vnf,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
NV-GW02-N4-MUM,10.83.43.59,1,8,service-vnf,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,OUT_OF_SYNC
NV-GW02-N5-LON,10.83.46.60,1,8,service-vnf,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,OUT_OF_SYNC
NV-GW03-N4-MUM,10.83.46.55,1,8,service-vnf,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
NV-WC01-N2-BLR,10.91.116.251,1,9,controller,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
NV-WC01-N4-MUM,10.83.43.34,1,9,controller,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,OUT_OF_SYNC
NV-WC01-N5-LON,10.83.46.57,1,9,controller,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
NV-WC02-N2-BLR,10.63.4.39,1,9,controller,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
NV-WC02-N4-MUM,10.83.43.35,1,9,controller,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,OUT_OF_SYNC
NV-WC02-N5-LON,10.83.46.56,1,9,controller,16.1-R2-S2.2 5cd1c58 20180505,REACHABLE,IN_SYNC
SAMPLE-CONTROLLER,10.83.47.51,1,9,controller,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
SAMPLE-QOS-VM-CPE-A,20.20.202.1,1,9,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
UCPE2,20.20.15.35,1,9,branch,16.1-R2-S2.2 d1653f6 20180508,REACHABLE,IN_SYNC
UCPE3,20.20.15.36,1,10,branch,16.1-R2-S2.2 d1653f6 20180508,UNREACHABLE,UNKNOWN
VCPE-20,20.20.16.20,1,10,branch,16.1-R2-S2.2 6e70693 20181001,UNREACHABLE,UNKNOWN
